# Copyright (C) 2021  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 21.1.0 Build 842 10/21/2021 SJ Lite Edition
# File: E:\git\slot-machine-v2\docs\pin_assignments.csv
# Generated on: Fri Jan  2 23:37:03 2026

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
DMC00,Output,PIN_AB13,4,B4_N0,PIN_AB13,2.5 V,,,,,
DMC01,Output,PIN_AA14,4,B4_N0,PIN_AA14,2.5 V,,,,,
DMC02,Output,PIN_W5,3,B3_N0,PIN_W5,2.5 V,,,,,
DMC03,Output,PIN_Y11,4,B4_N0,PIN_Y11,2.5 V,,,,,
DMC04,Output,PIN_W6,3,B3_N0,PIN_W6,2.5 V,,,,,
DMC05,Output,PIN_AB12,4,B4_N0,PIN_AB12,2.5 V,,,,,
DMC06,Output,PIN_W12,4,B4_N0,PIN_W12,2.5 V,,,,,
DMC07,Output,PIN_W13,4,B4_N0,PIN_W13,2.5 V,,,,,
DMC10,Output,PIN_AB10,4,B4_N0,PIN_AB10,2.5 V,,,,,
DMC11,Output,PIN_AA15,4,B4_N0,PIN_AA15,2.5 V,,,,,
DMC12,Output,PIN_V5,3,B3_N0,PIN_V5,2.5 V,,,,,
DMC13,Output,PIN_Y7,3,B3_N0,PIN_Y7,2.5 V,,,,,
DMC14,Output,PIN_W8,3,B3_N0,PIN_W8,2.5 V,,,,,
DMC15,Output,PIN_AA9,3,B3_N0,PIN_AA9,2.5 V,,,,,
DMC16,Output,PIN_AB11,4,B4_N0,PIN_AB11,2.5 V,,,,,
DMC17,Output,PIN_W11,4,B4_N0,PIN_W11,2.5 V,,,,,
DMR0,Output,PIN_AA8,3,B3_N0,PIN_AA8,2.5 V,,,,,
DMR1,Output,PIN_AA10,3,B3_N0,PIN_AA10,2.5 V,,,,,
DMR2,Output,PIN_W10,3,B3_N0,PIN_W10,2.5 V,,,,,
DMR3,Output,PIN_Y8,3,B3_N0,PIN_Y8,2.5 V,,,,,
DMR4,Output,PIN_V7,3,B3_N0,PIN_V7,2.5 V,,,,,
DMR5,Output,PIN_W9,3,B3_N0,PIN_W9,2.5 V,,,,,
DMR6,Output,PIN_V8,3,B3_N0,PIN_V8,2.5 V,,,,,
DMR7,Output,PIN_W7,3,B3_N0,PIN_W7,2.5 V,,,,,
HEX00,Output,PIN_C14,7,B7_N0,PIN_C14,2.5 V,,,,,
HEX01,Output,PIN_E15,7,B7_N0,PIN_E15,2.5 V,,,,,
HEX02,Output,PIN_C15,7,B7_N0,PIN_C15,2.5 V,,,,,
HEX03,Output,PIN_C16,7,B7_N0,PIN_C16,2.5 V,,,,,
HEX04,Output,PIN_E16,7,B7_N0,PIN_E16,2.5 V,,,,,
HEX05,Output,PIN_D17,7,B7_N0,PIN_D17,2.5 V,,,,,
HEX06,Output,PIN_C17,7,B7_N0,PIN_C17,2.5 V,,,,,
HEX30,Output,PIN_F21,6,B6_N0,PIN_F21,2.5 V,,,,,
HEX31,Output,PIN_E22,6,B6_N0,PIN_E22,2.5 V,,,,,
HEX32,Output,PIN_E21,6,B6_N0,PIN_E21,2.5 V,,,,,
HEX33,Output,PIN_C19,7,B7_N0,PIN_C19,2.5 V,,,,,
